iter	Logloss
0	0.6881389807
1	0.6835580958
2	0.6812028035
3	0.6779184625
4	0.6720597673
5	0.6678021119
6	0.6623375015
7	0.6577285918
8	0.6556561158
9	0.6517213123
10	0.649248482
11	0.6459643676
12	0.6433616109
13	0.6403143854
14	0.6380045674
15	0.6353835304
16	0.6327226847
17	0.6301885548
18	0.6268520166
19	0.6238256776
20	0.6215096275
21	0.6187357383
22	0.6154745499
23	0.6134424115
24	0.6107376401
25	0.6076447515
26	0.6044265445
27	0.6027291931
28	0.6003649872
29	0.597347675
30	0.5944403469
31	0.5913284226
32	0.5897007555
33	0.5867089375
34	0.5837196879
35	0.5817929258
36	0.580403243
37	0.5777110487
38	0.5751006627
39	0.5714833854
40	0.5694282079
41	0.5670536155
42	0.5641032682
43	0.5624069365
44	0.5610231456
45	0.5591392139
46	0.5577036792
47	0.5558472435
48	0.5540278218
49	0.5509827869
50	0.5489724414
51	0.5463353148
52	0.544409157
53	0.5432939435
54	0.540896123
55	0.539510066
56	0.5372250245
57	0.5353381469
58	0.5331835605
59	0.5317252886
