iter	Passed	Remaining
0	1	71
1	2	66
2	3	63
3	4	60
4	5	58
5	6	57
6	7	55
7	8	54
8	9	52
9	10	51
10	11	50
11	12	49
12	13	48
13	14	47
14	15	46
15	16	45
16	17	44
17	18	42
18	19	41
19	20	40
20	21	39
21	22	38
22	23	37
23	24	36
24	25	35
25	26	34
26	27	33
27	28	32
28	29	31
29	30	30
30	31	29
31	32	28
32	33	27
33	34	26
34	35	25
35	36	24
36	37	23
37	38	22
38	39	21
39	40	20
40	41	19
41	42	18
42	43	17
43	44	16
44	45	15
45	46	14
46	47	13
47	48	12
48	49	11
49	50	10
50	51	9
51	52	8
52	53	7
53	54	6
54	55	5
55	56	4
56	58	3
57	59	2
58	60	1
59	61	0
